transaction_id,timestamp,client_id,pays,categorie,montant_cad,mode_paiement,statut
TXN-2026-10060,2026-09-02 13:55:00,CLI-642,France,Accessoires,201.07,PayPal,Expedie
TXN-2026-10061,2026-09-02 14:10:00,CLI-560,Etats-Unis,Electronique,413.34,PayPal,Livre
TXN-2026-10062,2026-09-02 14:37:00,CLI-486,Suisse,Logiciels,53.67,Carte de credit,Livre
TXN-2026-10063,2026-09-02 15:22:00,CLI-322,Belgique,Informatique,655.37,Virement Interac,Expedie
TXN-2026-10064,2026-09-02 15:32:00,CLI-316,France,Electronique,566.49,Apple Pay,Livre
TXN-2026-10065,2026-09-02 15:55:00,CLI-506,France,Logiciels,258.17,Virement Interac,Expedie
TXN-2026-10066,2026-09-02 16:34:00,CLI-646,Etats-Unis,Mobilier,214.63,Apple Pay,Expedie
TXN-2026-10067,2026-09-02 16:50:00,CLI-922,Belgique,Mobilier,687.89,Virement Interac,Expedie
TXN-2026-10068,2026-09-02 17:26:00,CLI-146,Suisse,Informatique,562.41,Carte de credit,Expedie
TXN-2026-10069,2026-09-02 18:11:00,CLI-698,Suisse,Accessoires,239.01,PayPal,Expedie
TXN-2026-10070,2026-09-02 18:35:00,CLI-488,Suisse,Informatique,386.99,Virement Interac,Expedie
TXN-2026-10071,2026-09-02 19:16:00,CLI-840,Belgique,Accessoires,146.97,Virement Interac,Livre
TXN-2026-10072,2026-09-02 19:34:00,CLI-837,Suisse,Accessoires,158.43,Carte de credit,En traitement
TXN-2026-10073,2026-09-02 19:46:00,CLI-959,Canada,Electronique,579.15,Apple Pay,Livre
TXN-2026-10074,2026-09-02 20:10:00,CLI-169,France,Electronique,183.57,Apple Pay,Expedie
TXN-2026-10075,2026-09-02 20:23:00,CLI-732,Suisse,Accessoires,502.98,Carte de credit,Livre
TXN-2026-10076,2026-09-02 21:07:00,CLI-664,Belgique,Electronique,37.13,Virement Interac,En traitement
TXN-2026-10077,2026-09-02 21:35:00,CLI-117,Suisse,Accessoires,609.47,PayPal,Livre
TXN-2026-10078,2026-09-02 21:51:00,CLI-636,France,Informatique,164.15,Virement Interac,Expedie
TXN-2026-10079,2026-09-02 22:18:00,CLI-914,Belgique,Electronique,295.46,Apple Pay,Expedie
TXN-2026-10080,2026-09-02 22:43:00,CLI-813,France,Mobilier,520.93,Carte de credit,En traitement
TXN-2026-10081,2026-09-02 22:55:00,CLI-195,Belgique,Accessoires,298.45,Apple Pay,Livre
TXN-2026-10082,2026-09-02 23:05:00,CLI-819,France,Electronique,387.4,Apple Pay,En traitement
TXN-2026-10083,2026-09-02 23:36:00,CLI-679,Canada,Logiciels,691.39,PayPal,Livre
TXN-2026-10084,2026-09-03 00:16:00,CLI-377,Canada,Electronique,521.21,Virement Interac,En traitement
TXN-2026-10085,2026-09-03 00:28:00,CLI-283,Etats-Unis,Electronique,722.07,PayPal,En traitement
TXN-2026-10086,2026-09-03 01:03:00,CLI-178,Etats-Unis,Informatique,433.87,Apple Pay,En traitement
TXN-2026-10087,2026-09-03 01:47:00,CLI-439,Belgique,Informatique,598.11,Carte de credit,En traitement
TXN-2026-10088,2026-09-03 02:19:00,CLI-154,Canada,Accessoires,193.3,Carte de credit,Expedie
TXN-2026-10089,2026-09-03 02:54:00,CLI-892,Etats-Unis,Electronique,484.74,Apple Pay,Expedie
TXN-2026-10090,2026-09-03 03:18:00,CLI-464,Suisse,Accessoires,338.09,Apple Pay,Livre
TXN-2026-10091,2026-09-03 03:46:00,CLI-917,France,Electronique,84.48,PayPal,Expedie
TXN-2026-10092,2026-09-03 04:05:00,CLI-857,Belgique,Mobilier,286.51,Carte de credit,Livre
TXN-2026-10093,2026-09-03 04:34:00,CLI-555,Etats-Unis,Mobilier,99.12,Carte de credit,Livre
TXN-2026-10094,2026-09-03 05:11:00,CLI-559,Suisse,Logiciels,396.52,Carte de credit,Livre
TXN-2026-10095,2026-09-03 05:26:00,CLI-462,Suisse,Electronique,457.77,Virement Interac,Expedie
TXN-2026-10096,2026-09-03 05:36:00,CLI-398,Belgique,Accessoires,589.9,PayPal,En traitement
TXN-2026-10097,2026-09-03 06:19:00,CLI-273,Belgique,Informatique,125.66,Virement Interac,Expedie
TXN-2026-10098,2026-09-03 07:00:00,CLI-249,Canada,Informatique,340.14,Apple Pay,Expedie
TXN-2026-10099,2026-09-03 07:40:00,CLI-901,Canada,Mobilier,207.48,PayPal,En traitement
TXN-2026-10100,2026-09-03 08:21:00,CLI-708,Suisse,Informatique,356.95,PayPal,Expedie
TXN-2026-10101,2026-09-03 08:31:00,CLI-505,Etats-Unis,Logiciels,300.42,Virement Interac,Expedie
TXN-2026-10102,2026-09-03 09:02:00,CLI-540,Suisse,Informatique,242.82,PayPal,Expedie
TXN-2026-10103,2026-09-03 09:32:00,CLI-281,Belgique,Mobilier,236.3,Apple Pay,En traitement
TXN-2026-10104,2026-09-03 09:57:00,CLI-433,Belgique,Mobilier,616.96,Apple Pay,Expedie
TXN-2026-10105,2026-09-03 10:14:00,CLI-677,France,Logiciels,748.02,PayPal,En traitement
TXN-2026-10106,2026-09-03 10:59:00,CLI-127,Belgique,Informatique,342.88,Virement Interac,En traitement
TXN-2026-10107,2026-09-03 11:13:00,CLI-938,Belgique,Accessoires,125.9,Virement Interac,Livre
TXN-2026-10108,2026-09-03 11:39:00,CLI-774,France,Accessoires,597.08,Carte de credit,Expedie
TXN-2026-10109,2026-09-03 12:19:00,CLI-696,Belgique,Logiciels,392.29,Apple Pay,En traitement
TXN-2026-10110,2026-09-03 12:31:00,CLI-909,Etats-Unis,Logiciels,455.52,Carte de credit,Livre
TXN-2026-10111,2026-09-03 12:56:00,CLI-773,Etats-Unis,Informatique,494.07,Carte de credit,En traitement
TXN-2026-10112,2026-09-03 13:31:00,CLI-870,Etats-Unis,Accessoires,101.81,Carte de credit,Expedie
TXN-2026-10113,2026-09-03 13:55:00,CLI-622,Suisse,Logiciels,445.88,PayPal,Expedie
TXN-2026-10114,2026-09-03 14:28:00,CLI-500,Belgique,Logiciels,525.57,PayPal,Expedie
TXN-2026-10115,2026-09-03 14:39:00,CLI-594,Canada,Mobilier,326.58,Carte de credit,Livre
TXN-2026-10116,2026-09-03 14:58:00,CLI-456,Etats-Unis,Mobilier,355.12,PayPal,En traitement
TXN-2026-10117,2026-09-03 15:38:00,CLI-456,Belgique,Electronique,342.67,Apple Pay,Expedie
TXN-2026-10118,2026-09-03 15:52:00,CLI-407,Canada,Electronique,41.37,Virement Interac,En traitement
TXN-2026-10119,2026-09-03 16:08:00,CLI-793,France,Informatique,399.1,PayPal,Expedie
TXN-2026-10120,2026-09-03 16:53:00,CLI-536,Belgique,Informatique,603.37,PayPal,Livre
TXN-2026-10121,2026-09-03 17:30:00,CLI-505,Canada,Logiciels,665.25,Apple Pay,En traitement
TXN-2026-10122,2026-09-03 18:07:00,CLI-498,Canada,Informatique,174.19,Carte de credit,En traitement
TXN-2026-10123,2026-09-03 18:23:00,CLI-918,Suisse,Informatique,290.2,PayPal,Expedie
TXN-2026-10124,2026-09-03 18:40:00,CLI-368,Belgique,Logiciels,725.29,Virement Interac,En traitement
TXN-2026-10125,2026-09-03 19:14:00,CLI-725,Belgique,Logiciels,107.82,Virement Interac,Expedie
TXN-2026-10126,2026-09-03 19:35:00,CLI-933,Etats-Unis,Logiciels,452.87,PayPal,Expedie
TXN-2026-10127,2026-09-03 19:52:00,CLI-344,Etats-Unis,Electronique,157.71,PayPal,En traitement
TXN-2026-10128,2026-09-03 20:26:00,CLI-528,Suisse,Informatique,441.73,Apple Pay,Livre
TXN-2026-10129,2026-09-03 21:07:00,CLI-750,Suisse,Informatique,427.31,Apple Pay,Expedie
TXN-2026-10130,2026-09-03 21:25:00,CLI-291,Etats-Unis,Accessoires,474.07,Virement Interac,Livre
TXN-2026-10131,2026-09-03 22:06:00,CLI-239,France,Accessoires,723.78,Apple Pay,Expedie
TXN-2026-10132,2026-09-03 22:47:00,CLI-525,Belgique,Accessoires,146.26,Carte de credit,Livre
TXN-2026-10133,2026-09-03 23:15:00,CLI-133,Etats-Unis,Informatique,414.77,PayPal,Expedie
TXN-2026-10134,2026-09-03 23:56:00,CLI-662,Suisse,Electronique,440.22,Virement Interac,En traitement
TXN-2026-10135,2026-09-04 00:29:00,CLI-655,Canada,Accessoires,421.11,Apple Pay,Livre
TXN-2026-10136,2026-09-04 00:54:00,CLI-404,Canada,Accessoires,215.54,Carte de credit,Expedie
TXN-2026-10137,2026-09-04 01:11:00,CLI-894,France,Informatique,612.76,Virement Interac,En traitement
TXN-2026-10138,2026-09-04 01:48:00,CLI-269,Suisse,Informatique,594.02,PayPal,Livre
TXN-2026-10139,2026-09-04 02:20:00,CLI-645,Etats-Unis,Logiciels,415.61,Virement Interac,En traitement
TXN-2026-10140,2026-09-04 02:48:00,CLI-396,Suisse,Mobilier,715.49,Carte de credit,Livre
TXN-2026-10141,2026-09-04 03:24:00,CLI-160,Etats-Unis,Informatique,533.53,PayPal,Livre
TXN-2026-10142,2026-09-04 03:43:00,CLI-828,Etats-Unis,Informatique,577.07,Apple Pay,Expedie
TXN-2026-10143,2026-09-04 04:02:00,CLI-691,Etats-Unis,Accessoires,297.0,Carte de credit,En traitement
TXN-2026-10144,2026-09-04 04:17:00,CLI-512,Suisse,Mobilier,528.66,Virement Interac,Expedie
TXN-2026-10145,2026-09-04 04:58:00,CLI-435,Suisse,Electronique,654.96,Carte de credit,En traitement
TXN-2026-10146,2026-09-04 05:37:00,CLI-750,Etats-Unis,Electronique,601.87,Apple Pay,Livre
TXN-2026-10147,2026-09-04 06:14:00,CLI-944,France,Accessoires,219.69,Virement Interac,Expedie
TXN-2026-10148,2026-09-04 06:59:00,CLI-691,France,Logiciels,643.01,Virement Interac,En traitement
TXN-2026-10149,2026-09-04 07:12:00,CLI-147,Canada,Accessoires,36.8,PayPal,Expedie
TXN-2026-10150,2026-09-04 07:51:00,CLI-100,Belgique,Informatique,746.88,PayPal,En traitement
TXN-2026-10151,2026-09-04 08:20:00,CLI-262,Etats-Unis,Electronique,499.58,Virement Interac,Livre
TXN-2026-10152,2026-09-04 08:53:00,CLI-780,France,Electronique,312.35,Virement Interac,En traitement
TXN-2026-10153,2026-09-04 09:17:00,CLI-539,Canada,Electronique,25.79,Apple Pay,Livre
TXN-2026-10154,2026-09-04 09:35:00,CLI-707,France,Logiciels,517.99,Carte de credit,Livre
TXN-2026-10155,2026-09-04 10:06:00,CLI-936,Canada,Accessoires,528.17,Apple Pay,Livre
TXN-2026-10156,2026-09-04 10:30:00,CLI-492,Canada,Electronique,99.82,Virement Interac,Expedie
TXN-2026-10157,2026-09-04 10:48:00,CLI-491,France,Informatique,74.6,Carte de credit,En traitement
TXN-2026-10158,2026-09-04 11:08:00,CLI-550,Etats-Unis,Informatique,480.36,PayPal,Expedie
TXN-2026-10159,2026-09-04 11:46:00,CLI-980,France,Electronique,675.03,PayPal,Livre
TXN-2026-10160,2026-09-04 12:20:00,CLI-459,Belgique,Mobilier,598.53,PayPal,Expedie
TXN-2026-10161,2026-09-04 12:35:00,CLI-354,Suisse,Logiciels,460.01,Virement Interac,En traitement
TXN-2026-10162,2026-09-04 12:46:00,CLI-968,Etats-Unis,Informatique,400.37,PayPal,En traitement
TXN-2026-10163,2026-09-04 13:21:00,CLI-402,Canada,Informatique,383.79,Carte de credit,Livre
TXN-2026-10164,2026-09-04 14:02:00,CLI-753,Suisse,Electronique,408.01,Carte de credit,Expedie
TXN-2026-10165,2026-09-04 14:32:00,CLI-235,Belgique,Logiciels,330.13,PayPal,Expedie
TXN-2026-10166,2026-09-04 14:46:00,CLI-117,Suisse,Electronique,35.0,PayPal,Livre
TXN-2026-10167,2026-09-04 14:59:00,CLI-908,Belgique,Logiciels,232.7,Apple Pay,Expedie
TXN-2026-10168,2026-09-04 15:34:00,CLI-184,Suisse,Logiciels,471.63,Virement Interac,Livre
TXN-2026-10169,2026-09-04 16:03:00,CLI-180,Suisse,Informatique,731.38,PayPal,En traitement
TXN-2026-10170,2026-09-04 16:33:00,CLI-500,Suisse,Electronique,249.87,Apple Pay,En traitement
TXN-2026-10171,2026-09-04 16:58:00,CLI-159,France,Electronique,695.36,Carte de credit,Expedie
TXN-2026-10172,2026-09-04 17:11:00,CLI-416,France,Electronique,34.18,PayPal,En traitement
TXN-2026-10173,2026-09-04 17:21:00,CLI-267,Belgique,Mobilier,404.18,Virement Interac,Livre
TXN-2026-10174,2026-09-04 17:54:00,CLI-229,Etats-Unis,Electronique,584.29,Carte de credit,Expedie
TXN-2026-10175,2026-09-04 18:31:00,CLI-378,Suisse,Electronique,215.64,Carte de credit,Expedie
TXN-2026-10176,2026-09-04 19:10:00,CLI-623,Etats-Unis,Electronique,387.22,PayPal,Expedie
TXN-2026-10177,2026-09-04 19:30:00,CLI-361,Canada,Logiciels,513.74,Carte de credit,Livre
TXN-2026-10178,2026-09-04 20:12:00,CLI-102,Canada,Electronique,202.3,Apple Pay,Expedie
TXN-2026-10179,2026-09-04 20:46:00,CLI-253,France,Electronique,425.83,Apple Pay,Livre
TXN-2026-10180,2026-09-04 21:16:00,CLI-354,Belgique,Mobilier,221.66,Carte de credit,En traitement
TXN-2026-10181,2026-09-04 21:49:00,CLI-222,Suisse,Electronique,155.02,Carte de credit,Expedie
TXN-2026-10182,2026-09-04 22:03:00,CLI-998,Belgique,Mobilier,585.81,Virement Interac,Expedie
TXN-2026-10183,2026-09-04 22:18:00,CLI-666,Belgique,Electronique,292.47,Virement Interac,En traitement
TXN-2026-10184,2026-09-04 22:47:00,CLI-857,Suisse,Informatique,361.35,Apple Pay,Livre
TXN-2026-10185,2026-09-04 23:31:00,CLI-878,France,Informatique,29.62,Apple Pay,Livre
TXN-2026-10186,2026-09-04 23:55:00,CLI-654,Etats-Unis,Electronique,714.47,Carte de credit,En traitement
TXN-2026-10187,2026-09-05 00:29:00,CLI-969,Etats-Unis,Electronique,173.77,PayPal,Expedie
TXN-2026-10188,2026-09-05 01:10:00,CLI-161,France,Mobilier,92.44,PayPal,En traitement
TXN-2026-10189,2026-09-05 01:46:00,CLI-817,Etats-Unis,Accessoires,731.55,Carte de credit,En traitement
TXN-2026-10190,2026-09-05 02:02:00,CLI-617,France,Accessoires,79.25,Carte de credit,Expedie
TXN-2026-10191,2026-09-05 02:20:00,CLI-342,Etats-Unis,Mobilier,641.91,Apple Pay,En traitement
TXN-2026-10192,2026-09-05 02:50:00,CLI-425,Belgique,Mobilier,194.37,PayPal,Livre
TXN-2026-10193,2026-09-05 03:06:00,CLI-259,Canada,Informatique,350.94,Virement Interac,Expedie
TXN-2026-10194,2026-09-05 03:23:00,CLI-648,Etats-Unis,Informatique,352.64,Apple Pay,Expedie
TXN-2026-10195,2026-09-05 03:40:00,CLI-192,France,Mobilier,624.13,Carte de credit,Livre
TXN-2026-10196,2026-09-05 04:10:00,CLI-251,Canada,Informatique,727.09,Apple Pay,En traitement
TXN-2026-10197,2026-09-05 04:23:00,CLI-793,Etats-Unis,Mobilier,619.56,PayPal,Livre
TXN-2026-10198,2026-09-05 04:58:00,CLI-975,Belgique,Logiciels,567.36,PayPal,Livre
TXN-2026-10199,2026-09-05 05:37:00,CLI-204,France,Electronique,33.67,PayPal,Livre
TXN-2026-10200,2026-09-05 05:59:00,CLI-943,Belgique,Mobilier,522.56,Carte de credit,En traitement
TXN-2026-10201,2026-09-05 06:25:00,CLI-932,Canada,Electronique,747.94,PayPal,En traitement
TXN-2026-10202,2026-09-05 07:03:00,CLI-928,France,Electronique,681.18,Virement Interac,Livre
TXN-2026-10203,2026-09-05 07:15:00,CLI-572,Canada,Informatique,695.0,Apple Pay,En traitement
TXN-2026-10204,2026-09-05 07:50:00,CLI-608,Canada,Accessoires,520.33,PayPal,Expedie
TXN-2026-10205,2026-09-05 08:13:00,CLI-291,Etats-Unis,Mobilier,348.36,PayPal,Livre
TXN-2026-10206,2026-09-05 08:38:00,CLI-762,Etats-Unis,Accessoires,323.69,Apple Pay,Livre
TXN-2026-10207,2026-09-05 08:53:00,CLI-386,Belgique,Informatique,328.95,PayPal,En traitement
TXN-2026-10208,2026-09-05 09:37:00,CLI-913,Canada,Accessoires,591.89,Virement Interac,Expedie
TXN-2026-10209,2026-09-05 10:21:00,CLI-900,Belgique,Mobilier,686.69,Virement Interac,Expedie
TXN-2026-10210,2026-09-05 10:48:00,CLI-284,Canada,Mobilier,457.91,Carte de credit,Expedie
TXN-2026-10211,2026-09-05 11:01:00,CLI-928,Belgique,Logiciels,284.14,PayPal,Livre
TXN-2026-10212,2026-09-05 11:17:00,CLI-353,France,Mobilier,411.92,Carte de credit,Livre
TXN-2026-10213,2026-09-05 11:51:00,CLI-463,France,Informatique,196.5,Virement Interac,En traitement
TXN-2026-10214,2026-09-05 12:23:00,CLI-705,Canada,Mobilier,711.98,PayPal,En traitement
TXN-2026-10215,2026-09-05 12:45:00,CLI-956,Belgique,Logiciels,249.06,Apple Pay,Livre
TXN-2026-10216,2026-09-05 13:00:00,CLI-157,France,Logiciels,183.64,Apple Pay,Livre
TXN-2026-10217,2026-09-05 13:31:00,CLI-728,France,Informatique,272.05,PayPal,Expedie
TXN-2026-10218,2026-09-05 13:44:00,CLI-122,France,Logiciels,535.9,PayPal,Livre
TXN-2026-10219,2026-09-05 14:27:00,CLI-981,Etats-Unis,Electronique,295.85,Apple Pay,En traitement
TXN-2026-10220,2026-09-05 14:43:00,CLI-444,Etats-Unis,Mobilier,123.93,PayPal,En traitement
TXN-2026-10221,2026-09-05 15:20:00,CLI-910,Belgique,Mobilier,151.3,Virement Interac,Livre
TXN-2026-10222,2026-09-05 15:41:00,CLI-487,Etats-Unis,Mobilier,117.33,Carte de credit,En traitement
TXN-2026-10223,2026-09-05 16:16:00,CLI-971,Suisse,Electronique,157.01,Virement Interac,En traitement
TXN-2026-10224,2026-09-05 16:40:00,CLI-754,Suisse,Electronique,704.1,PayPal,Expedie
TXN-2026-10225,2026-09-05 16:54:00,CLI-343,Etats-Unis,Mobilier,146.72,Carte de credit,En traitement
TXN-2026-10226,2026-09-05 17:25:00,CLI-557,Canada,Mobilier,177.02,Carte de credit,Expedie
TXN-2026-10227,2026-09-05 17:51:00,CLI-905,Canada,Electronique,59.91,Apple Pay,En traitement
TXN-2026-10228,2026-09-05 18:27:00,CLI-270,Belgique,Accessoires,664.28,Virement Interac,En traitement
TXN-2026-10229,2026-09-05 19:01:00,CLI-203,Belgique,Logiciels,496.95,PayPal,Livre
TXN-2026-10230,2026-09-05 19:39:00,CLI-175,Canada,Mobilier,39.56,Virement Interac,Livre
TXN-2026-10231,2026-09-05 19:53:00,CLI-450,France,Accessoires,141.66,Carte de credit,En traitement
TXN-2026-10232,2026-09-05 20:08:00,CLI-446,Suisse,Logiciels,672.59,Carte de credit,Expedie
TXN-2026-10233,2026-09-05 20:28:00,CLI-721,Belgique,Informatique,63.83,Virement Interac,Livre
TXN-2026-10234,2026-09-05 20:50:00,CLI-519,Suisse,Logiciels,217.32,Virement Interac,Expedie
TXN-2026-10235,2026-09-05 21:15:00,CLI-198,Canada,Accessoires,439.53,Apple Pay,Livre
TXN-2026-10236,2026-09-05 21:28:00,CLI-469,Canada,Accessoires,88.53,Apple Pay,Livre
TXN-2026-10237,2026-09-05 21:44:00,CLI-126,France,Informatique,487.69,Carte de credit,Expedie
TXN-2026-10238,2026-09-05 22:01:00,CLI-415,Belgique,Accessoires,379.6,Virement Interac,Livre
TXN-2026-10239,2026-09-05 22:45:00,CLI-496,France,Mobilier,666.98,Virement Interac,Livre
TXN-2026-10240,2026-09-05 23:23:00,CLI-145,Etats-Unis,Accessoires,362.17,PayPal,Expedie
TXN-2026-10241,2026-09-05 23:36:00,CLI-254,Canada,Electronique,509.4,Apple Pay,En traitement
TXN-2026-10242,2026-09-06 00:00:00,CLI-666,Canada,Accessoires,618.34,Apple Pay,En traitement
TXN-2026-10243,2026-09-06 00:40:00,CLI-686,France,Accessoires,241.67,Apple Pay,En traitement
TXN-2026-10244,2026-09-06 00:52:00,CLI-614,Suisse,Logiciels,605.33,PayPal,Livre
TXN-2026-10245,2026-09-06 01:30:00,CLI-277,France,Informatique,611.13,PayPal,Livre
TXN-2026-10246,2026-09-06 02:07:00,CLI-180,Belgique,Informatique,748.02,PayPal,En traitement
TXN-2026-10247,2026-09-06 02:33:00,CLI-427,Canada,Electronique,306.37,Apple Pay,En traitement
TXN-2026-10248,2026-09-06 03:03:00,CLI-977,Etats-Unis,Logiciels,357.16,Carte de credit,En traitement
TXN-2026-10249,2026-09-06 03:46:00,CLI-900,Belgique,Electronique,325.47,PayPal,En traitement
TXN-2026-10250,2026-09-06 04:02:00,CLI-208,Suisse,Electronique,594.67,Virement Interac,Expedie
TXN-2026-10251,2026-09-06 04:28:00,CLI-492,Belgique,Logiciels,466.5,Carte de credit,Livre
TXN-2026-10252,2026-09-06 04:55:00,CLI-512,France,Logiciels,466.28,Apple Pay,Livre
TXN-2026-10253,2026-09-06 05:30:00,CLI-439,France,Electronique,565.67,Virement Interac,Expedie
TXN-2026-10254,2026-09-06 05:41:00,CLI-445,Etats-Unis,Mobilier,228.25,Apple Pay,En traitement
